time_s,true_angle_deg,measurement_deg,reactive_beam_deg,cv_beam_deg,ca_beam_deg
1.4500000000000002,-24.914125,,-27.0126022463765,-25.872546310153933,-26.063063931047502
1.5,-24.7125,-24.836980178124126,-27.0126022463765,-25.719522763244072,-25.960449366433053
1.55,-24.509125,,-24.836980178124126,-25.301043691543306,-24.941687510319692
1.6,-24.304,,-24.836980178124126,-25.141915836744552,-24.753535660214894
1.6500000000000001,-24.097125000000002,,-24.836980178124126,-24.982787981945798,-24.564840257975337
1.7000000000000002,-23.888499999999997,,-24.836980178124126,-24.823660127147043,-24.375601303601023
1.75,-23.678125,,-24.836980178124126,-24.66453227234829,-24.18581879709195
1.8,-23.466,-22.971444952073323,-24.836980178124126,-24.505404417549535,-23.995492738448117
1.85,-23.252125,,-22.971444952073323,-23.901919583853932,-23.0000797336518
1.9000000000000001,-23.0365,,-22.971444952073323,-23.732021815907487,-22.735143894016762
1.9500000000000002,-22.819125,,-22.971444952073323,-23.562124047961042,-22.46692442827939
2.0,-22.6,,-22.971444952073323,-23.392226280014597,-22.195421336439686
2.0500000000000003,-22.379125000000002,,-22.971444952073323,-23.222328512068152,-21.920634618497644
2.1,-22.156499999999998,-20.689037760729544,-22.971444952073323,-23.052430744121708,-21.642564274453267
2.15,-21.932125,,-20.689037760729544,-22.21302901781452,-20.655897771453965
2.2,-21.706,,-20.689037760729544,-22.026823292489706,-20.313727280796655
2.25,-21.478125,,-20.689037760729544,-21.84061756716489,-19.966368350904535
2.3000000000000003,-21.2485,,-20.689037760729544,-21.654411841840076,-19.6138209817776
2.35,-21.017125,,-20.689037760729544,-21.468206116515262,-19.25608517341585
2.4000000000000004,-20.783999999999995,-21.972795004958115,-20.689037760729544,-21.282000391190447,-18.893160925819288
2.45,-20.549124999999997,,-21.972795004958115,-21.28773130295362,-20.653096841965862
2.5,-20.3125,,-21.972795004958115,-21.106094894320545,-20.435103473990573
2.5500000000000003,-20.074125000000002,,-21.972795004958115,-20.92445848568747,-20.21652939038369
2.6,-19.834,,-21.972795004958115,-20.742822077054395,-19.997374591145213
2.6500000000000004,-19.592124999999996,,-21.972795004958115,-20.56118566842132,-19.777639076275143
2.7,-19.348499999999998,,-21.972795004958115,-20.379549259788245,-19.557322845773477
2.75,-19.103125,,-21.972795004958115,-20.19791285115517,-19.33642589964022
2.8000000000000003,-18.856,,-21.972795004958115,-20.016276442522095,-19.114948237875364
2.85,-18.607125,,-21.972795004958115,-19.83464003388902,-18.892889860478913
2.9000000000000004,-18.356499999999997,,-21.972795004958115,-19.653003625255945,-18.67025076745087
2.95,-18.104125,,-21.972795004958115,-19.47136721662287,-18.44703095879123
3.0,-17.85,-18.938951202649548,-21.972795004958115,-19.289730807989795,-18.2232304345
3.0500000000000003,-17.594125000000002,,-18.938951202649548,-18.992632046192195,-18.576777902050797
3.1,-17.3365,,-18.938951202649548,-18.808518950680213,-18.384358434774576
3.1500000000000004,-17.077124999999995,,-18.938951202649548,-18.62440585516823,-18.192130868392518
3.2,-16.816,,-18.938951202649548,-18.44029275965625,-18.00009520290462
3.25,-16.553125,,-18.938951202649548,-18.256179664144266,-17.808251438310883
3.3000000000000003,-16.2885,-16.220137586845098,-18.938951202649548,-18.072066568632284,-17.616599574611307
3.35,-16.022125,,-16.220137586845098,-17.332604617440253,-16.54685141549926
3.4000000000000004,-15.753999999999998,,-16.220137586845098,-17.13723890909052,-16.310174112405683
3.45,-15.484124999999999,,-16.220137586845098,-16.941873200740787,-16.072694874042824
3.5,-15.2125,,-16.220137586845098,-16.746507492391054,-15.834413700410678
3.5500000000000003,-14.939125,,-16.220137586845098,-16.55114178404132,-15.595330591509247
3.6,-14.663999999999998,-15.282846386878154,-16.220137586845098,-16.355776075691587,-15.35544554733853
3.6500000000000004,-14.387124999999997,,-15.282846386878154,-15.862401704329157,-15.074700585541787
3.7,-14.1085,,-15.282846386878154,-15.66128853842783,-14.831259746986358
3.75,-13.828125,,-15.282846386878154,-15.460175372526502,-14.586976932494393
3.8000000000000003,-13.546000000000001,,-15.282846386878154,-15.259062206625174,-14.341852142065893
3.85,-13.262125,,-15.282846386878154,-15.057949040723846,-14.095885375700858
3.9000000000000004,-12.976499999999998,-14.096182357494184,-15.282846386878154,-14.856835874822519,-13.849076633399287
3.95,-12.689124999999997,,-14.096182357494184,-14.457686369480882,-13.726980470387407
4.0,-12.4,,-14.096182357494184,-14.252913652040014,-13.48429926443309
4.05,-12.109125000000002,,-14.096182357494184,-14.048140934599147,-13.240888472961048
4.1000000000000005,-11.816499999999998,,-14.096182357494184,-13.843368217158279,-12.996748095971281
4.15,-11.522124999999996,,-14.096182357494184,-13.638595499717411,-12.751878133463787
4.2,-11.225999999999999,-10.965941592949815,-14.096182357494184,-13.433822782276543,-12.506278585438569
4.25,-10.928125000000001,,-10.965941592949815,-12.621271821069584,-11.523026867903075
4.3,-10.628500000000003,,-10.965941592949815,-12.405673058042582,-11.24352414957612
4.3500000000000005,-10.327124999999999,,-10.965941592949815,-12.190074295015581,-10.962698876593237
4.4,-10.023999999999997,,-10.965941592949815,-11.97447553198858,-10.680551048954428
4.45,-9.719124999999998,,-10.965941592949815,-11.758876768961578,-10.397080666659694
4.5,-9.412500000000001,-9.723426161247746,-10.965941592949815,-11.543278005934576,-10.112287729709033
4.55,-9.104125000000003,,-9.723426161247746,-10.90061051330485,-9.649137496877568
4.6000000000000005,-8.793999999999997,,-9.723426161247746,-10.677638363318614,-9.354287894576762
4.65,-8.482124999999996,,-9.723426161247746,-10.454666213332379,-9.05798748576154
4.7,-8.168499999999998,,-9.723426161247746,-10.231694063346144,-8.760236270431903
4.75,-7.853125,,-9.723426161247746,-10.008721913359908,-8.46103424858785
4.800000000000001,-7.535999999999996,-7.160541957239412,-9.723426161247746,-9.785749763373673,-8.160381420229383
4.8500000000000005,-7.217124999999998,,-7.160541957239412,-8.972143779094154,-7.422863825635061
4.9,-6.896499999999998,,-7.160541957239412,-8.73923692870502,-7.101976966136207
4.95,-6.574124999999999,,-7.160541957239412,-8.506330078315887,-6.779354725062261
5.0,-6.25,,-7.160541957239412,-8.273423227926754,-6.4549971024132216
5.050000000000001,-5.9241249999999965,,-7.160541957239412,-8.040516377537621,-6.12890409818909
