sensing_angle_deg,weight_comm,rate,sensing_gain
25.0,0.6000000000000001,5.041589655619795,0.004517471754949115
25.0,0.625,5.042811532315533,0.0031469795070725747
25.0,0.65,5.043435030525958,0.0023676979031788644
25.0,0.675,5.043785873520622,0.0018777825506452758
25.0,0.7000000000000001,5.043997025804591,0.0015471243370222783
25.0,0.7250000000000001,5.044130342431217,0.0013118535942457257
25.0,0.75,5.044217474046557,0.0011374882235877274
25.0,0.775,5.044275835028632,0.0010040069875528429
25.0,0.8,5.044315570000061,0.0008990968751012234
25.0,0.8250000000000001,5.044342867197632,0.0008148239685848014
25.0,0.8500000000000001,5.0443616471232815,0.0007458749497792082
25.0,0.875,5.0443744733145985,0.0006885741312733482
25.0,0.9,5.044383067356164,0.0006403073458784351
25.0,0.925,5.044388612013774,0.0005991704338733626
25.0,0.9500000000000001,5.044391935905237,0.0005637472165815833
25.0,0.9750000000000001,5.044393629411872,0.0005329649730099549
25.0,1.0,5.044394119358453,0.0005059978470678447
55.0,0.0,0.04452289181440795,1.0
55.0,0.025,0.04685641219771328,0.9999993224536334
55.0,0.05,0.04951523635894194,0.9999969806851261
55.0,0.07500000000000001,0.05256857537738499,0.9999923848842565
55.0,0.1,0.05610591021877584,0.9999847194378638
55.0,0.125,0.06024473283230378,0.9999728399570641
55.0,0.15000000000000002,0.06514201920477108,0.9999551135455709
55.0,0.17500000000000002,0.07101165893186433,0.9999291644953583
55.0,0.2,0.07815168338908729,0.9998914572159858
55.0,0.225,0.08698817451803557,0.9998365884279035
55.0,0.25,0.09814870393742858,0.9997560371937999
55.0,0.275,0.11259046645813518,0.9996358515824253
55.0,0.30000000000000004,0.13183518899281413,0.9994521206151787
55.0,0.325,0.1584258133836471,0.9991614857342752
55.0,0.35000000000000003,0.19687908723406558,0.998679496488281
55.0,0.375,0.25585008693337186,0.9978255686485339
55.0,0.4,0.3535951482020638,0.9961612343193429
55.0,0.42500000000000004,0.5336475240271611,0.9924079406475039
55.0,0.45,0.9169291287468334,0.9815986198665256
55.0,0.47500000000000003,1.8921633491041856,0.9318629141124339
55.0,0.5,4.129343680752123,0.5156479960013032
55.0,0.525,4.945776852797732,0.08474731760832356
55.0,0.55,5.018418565365408,0.02775287765598365
55.0,0.5750000000000001,5.033733713606735,0.013987014332118299
55.0,0.6000000000000001,5.039013754160748,0.008679398464799825
55.0,0.625,5.0413489283071335,0.006063722057873434
55.0,0.65,5.042545581536571,0.004569253654280406
55.0,0.675,5.043220580008808,0.0036271463403533917
55.0,0.7000000000000001,5.0436274450189424,0.002990205935655238
55.0,0.7250000000000001,5.043884594128833,0.002536494126068154
55.0,0.75,5.0440527806246,0.0021999694607664983
55.0,0.775,5.044165492211455,0.0019422025070370053
55.0,0.8,5.044242262507206,0.001739521976353546
55.0,0.8250000000000001,5.044295018712415,0.0015766572831597066
55.0,0.8500000000000001,5.044331322874018,0.0014433725526191432
55.0,0.875,5.0443561225824505,0.0013325817321950158
55.0,0.9,5.044372742044955,0.0012392423414591203
55.0,0.925,5.044383465947272,0.0011596797531166674
55.0,0.9500000000000001,5.044389895400178,0.0010911600084304043
55.0,0.9750000000000001,5.044393171486353,0.0010316115477795938
55.0,1.0,5.044394119358453,0.0009794391154274702
