time_s,true_range_m,measurement_m,tracked_range_m,tracked_velocity_mps
5.5,158.4,156.6328309467299,156.9984070411081,11.483964461067089
5.6000000000000005,159.8,157.9409825570056,158.06035869652695,11.339889809920649
5.7,161.2,166.5281990777113,162.27456526559976,16.47358579005525
5.800000000000001,162.60000000000002,161.64075532785108,162.96383306756852,14.876767828327305
5.9,164.0,162.17026388567268,163.49338654521523,13.279895653017316
6.0,165.4,167.96899231188314,166.14337491509076,15.48322699397365
6.1000000000000005,166.8,170.29311280744324,168.7842919955293,17.30421762904222
6.2,168.2,168.636590706152,169.72590207647528,15.989531492445154
6.300000000000001,169.60000000000002,165.99442793888707,169.08607576525006,12.258232391662244
6.4,171.0,174.82650860656946,172.20803503732063,15.418459113169463
6.5,172.4,174.2843003957859,173.97433711643987,15.79255272617328
6.6000000000000005,173.8,174.8456587647328,175.25626026684097,15.296999189146202
6.7,175.2,176.68421484905713,176.74322714434223,15.225777453457283
6.800000000000001,176.60000000000002,168.55431414471775,174.18697877680046,8.427733931978139
6.9,178.0,180.9719944613917,177.5254939323835,12.587303535953538
7.0,179.4,178.85682339451253,178.814715911563,12.638122911927104
7.1000000000000005,180.8,182.37557279799736,181.0432869327572,14.246054128596246
7.2,182.2,184.09533964073543,183.15142020956665,15.385267235179265
7.300000000000001,183.60000000000002,182.098018121567,183.6013368322472,13.570917067116971
7.4,185.0,182.3518130162234,183.86365001941,11.746286201202125
7.5,186.4,186.2719880429348,185.55643658896014,12.609882783585338
7.6000000000000005,187.8,189.89699956930374,188.1108462421524,14.765585074974894
7.7,189.20000000000002,191.6955133138814,190.4728103466271,16.241261069936954
7.800000000000001,190.60000000000002,192.22827221920363,192.1520974751656,16.333196105844937
7.9,192.0,nan,193.78541708575008,16.333196105844937
8.0,193.4,196.86300134861415,196.025327850292,17.344181362440636
8.1,194.8,nan,197.75974598653607,17.344181362440636
8.200000000000001,196.20000000000002,198.21573683679708,198.95722466266727,16.44928226225249
8.3,197.60000000000002,198.85204585778376,199.86710793582685,15.224207340476351
8.4,199.0,201.36252169117967,201.37818573882268,15.20530245538997
8.5,200.4,199.48100625619796,201.4632778985329,12.81290564567537
8.6,201.8,202.13946573002963,202.4904253152107,12.389333732525794
8.700000000000001,203.20000000000002,201.95533829061088,202.98427012136528,11.147519454029105
8.8,204.60000000000002,205.5874364063794,204.7241560894049,12.189409491756953
8.9,206.0,204.52890170014018,205.34913499643562,11.199472754848667
9.0,207.4,209.5462973625437,207.76151260998225,13.353523318284916
9.1,208.8,211.58779183637276,210.1430542375268,15.097172144478332
9.200000000000001,210.20000000000002,212.46981453067883,211.9959295450304,15.669102299571264
9.3,211.60000000000002,214.16373207498557,213.81521454098672,16.08972690956989
9.4,213.0,216.97629700224817,216.0760733354716,17.176203748783017
9.5,214.4,218.34738643917942,218.0262446564583,17.563788658963688
9.600000000000001,215.8,212.8884133735507,216.887055259857,12.737841554800902
9.700000000000001,217.20000000000002,220.41553111064994,219.1078099273685,14.316125741519901
9.8,218.60000000000002,216.8141600877069,218.97481228771878,11.708442051850405
9.9,220.0,221.7838588497499,220.83370148277916,12.85518370164266
10.0,221.4,223.07570351763798,222.52094299211512,13.524722266928853
10.100000000000001,222.8,224.66325298351677,224.2051470799857,14.077608702224978
10.200000000000001,224.20000000000002,223.80389818197852,224.85312384755173,12.811301864464218
10.3,225.60000000000002,223.98109053084633,225.22992536267438,11.304087412257935
10.4,227.0,230.37510754707858,228.0465389500351,14.114428822482814
10.5,228.4,229.2053662522116,229.35188328865326,13.937597916432562
10.600000000000001,229.8,226.32077141076087,228.88719697909153,10.840187747757618
10.700000000000001,231.20000000000002,230.4818657330064,230.18568874510572,11.197642733155
10.8,232.60000000000002,236.78384012059814,233.60637560133551,15.032513704678848
10.9,234.00000000000003,nan,235.1096269718034,15.032513704678848
11.0,235.4,238.23391310325795,237.2937129418857,16.1672380373695
11.100000000000001,236.8,234.27302759927937,236.96272490415848,12.9210516349292
11.200000000000001,238.20000000000002,238.10147087128328,238.1904192051768,12.813700197471519
11.3,239.60000000000002,240.3022999235834,239.82060371836093,13.395057686533136
11.4,241.00000000000003,242.91796235051137,241.89840768968304,14.62555469098113
11.5,242.4,240.43940646834562,242.13390934879823,12.580465007676263
11.600000000000001,243.8,239.79261534951064,241.88023283954266,10.06092665763762
11.700000000000001,245.20000000000002,237.06353030491093,240.4407515211403,5.9849700173607765
11.8,246.60000000000002,251.99867296743264,245.64220678959,13.65656712855017
11.9,248.00000000000003,246.55387274246198,246.81718738325213,13.33877359656204
12.0,249.4,242.96284654991467,245.972013101851,9.707020861466468
12.100000000000001,250.8,250.2164701364272,248.31769226633804,11.998649325367166
12.200000000000001,252.20000000000002,250.43872195881505,249.90444639804969,12.643464657325374
12.3,253.60000000000002,nan,251.16879286378222,12.643464657325374
