sweep,rho,active_aps,bits,update_interval,mean_user_rate,edge_rate,mean_sum_rate,fronthaul_power_w,total_power_w,energy_efficiency
joint,0.98,16,3,1,1.1585906217040471,0.5492888274314067,9.268724973632375,0.384,3.904,2.3741611100492763
joint,0.98,16,3,4,1.1260126825116694,0.4835313895752324,9.008101460093355,0.096,3.616,2.491178501132012
joint,0.98,16,3,8,1.0812904430547778,0.42311353098207,8.650323544438223,0.048,3.568,2.4244180337551073
joint,0.98,16,3,16,1.0051221561321249,0.30193521943477697,8.040977249057,0.024,3.544,2.26889877230728
joint,0.98,16,4,1,1.6301633647144895,0.692014227139047,13.041306917715916,0.512,4.032,3.234451120465257
joint,0.98,16,4,4,1.5860880752154194,0.630799376496098,12.688704601723357,0.128,3.648,3.4782633228408324
joint,0.98,16,4,8,1.520802534564587,0.5477197519248218,12.166420276516696,0.064,3.584,3.394648514653096
joint,0.98,16,4,16,1.4033077963995801,0.4169086064372069,11.226462371196641,0.032,3.552,3.1606031450440994
joint,0.98,16,6,1,2.3094515520525434,0.9595615361949992,18.475612416420347,0.768,4.288,4.308678268754745
joint,0.98,16,6,4,2.2616830949245212,0.9110828652846775,18.09346475939617,0.192,3.712,4.874317014923537
joint,0.98,16,6,8,2.1935025803405948,0.844628581469727,17.548020642724758,0.096,3.616,4.85288181491282
joint,0.98,16,6,16,2.0422589632316885,0.6793874987677483,16.33807170585351,0.048,3.568,4.579055971371499
joint,0.98,24,3,1,1.3737110904267906,0.708333467486082,10.989688723414323,0.576,5.055999999999999,2.1735934975107445
joint,0.98,24,3,4,1.3350259546211038,0.6344330558151423,10.68020763696883,0.144,4.624,2.30973348550364
joint,0.98,24,3,8,1.2836881964308495,0.5670707038713845,10.269505571446796,0.072,4.552,2.25604252448304
joint,0.98,24,3,16,1.1858330477387162,0.4047312708058983,9.48666438190973,0.036,4.515999999999999,2.1006785610960432
joint,0.98,24,4,1,1.8826156591856371,0.8997191388392347,15.060925273485097,0.768,5.247999999999999,2.869840943880545
joint,0.98,24,4,4,1.8304911093440792,0.8348567789514807,14.643928874752632,0.192,4.672,3.1344025844932863
joint,0.98,24,4,8,1.759668134819758,0.7126001997128727,14.077345078558064,0.096,4.576,3.0763428930415353
joint,0.98,24,4,16,1.6253876880798857,0.5246513548342312,13.003101504639085,0.048,4.528,2.8717096962542152
joint,0.98,24,6,1,2.673392084105051,1.163330440160391,21.38713667284041,1.152,5.632,3.7974319376492205
joint,0.98,24,6,4,2.6172762496126363,1.1066564793341123,20.93820999690109,0.288,4.768,4.3914031033769065
joint,0.98,24,6,8,2.5498755745791946,1.0480313516299153,20.399004596633556,0.144,4.624,4.411549436988226
joint,0.98,24,6,16,2.38758560385115,0.9077876558904401,19.1006848308092,0.072,4.552,4.196108266873726
