trial,bits,iteration,sum_rate
15,3,0,0.7188685609968996
15,3,1,4.524372024798221
15,3,2,5.862468873428719
16,1,0,1.495538374278865
16,1,1,3.8548117334097145
16,1,2,4.798149603262987
16,2,0,1.495538374278865
16,2,1,4.541463853941066
16,2,2,5.811962034162796
16,3,0,1.495538374278865
16,3,1,4.074081764058298
16,3,2,5.076260276809342
17,1,0,1.5002368217007676
17,1,1,4.058612436425764
17,1,2,4.257480142033262
17,2,0,1.5002368217007676
17,2,1,4.682441342341114
17,2,2,4.915536106841975
17,3,0,1.5002368217007676
17,3,1,4.457710718027218
17,3,2,5.116886921389633
18,1,0,0.8961824953447841
18,1,1,3.83954216605121
18,1,2,4.014549513685403
18,2,0,0.8961824953447841
18,2,1,3.8574432524601745
18,2,2,4.320337049100061
18,3,0,0.8961824953447841
18,3,1,3.880179515348256
18,3,2,4.3242581863727345
19,1,0,3.38932846413935
19,1,1,4.538278409672088
19,1,2,4.580798700509647
19,2,0,3.38932846413935
19,2,1,5.133061720719564
19,2,2,5.258229086995468
19,3,0,3.38932846413935
19,3,1,5.05305405669281
19,3,2,5.724034654845416
20,1,0,0.4366723831567435
20,1,1,3.6359803439938236
20,1,2,4.01589586134697
20,2,0,0.4366723831567435
20,2,1,3.743851047025565
20,2,2,4.138230255954565
20,3,0,0.4366723831567435
20,3,1,3.968977052892158
20,3,2,4.76844667612095
21,1,0,1.0299875142093184
21,1,1,3.1606952789722316
21,1,2,3.5021136835647386
21,2,0,1.0299875142093184
21,2,1,3.7880910735382614
21,2,2,4.038456234923089
21,3,0,1.0299875142093184
21,3,1,3.7819497259143224
21,3,2,4.073837166424773
22,1,0,0.19913716689435507
22,1,1,3.7714177284256314
22,1,2,4.011877278714161
22,2,0,0.19913716689435507
22,2,1,4.567783793818188
22,2,2,4.746652526314518
22,3,0,0.19913716689435507
22,3,1,4.45976533786234
22,3,2,5.018736304509572
23,1,0,1.338054754808896
23,1,1,4.141796218306828
23,1,2,4.429553001644785
23,2,0,1.338054754808896
23,2,1,4.552052647647795
23,2,2,4.779077809935933
23,3,0,1.338054754808896
23,3,1,4.625616312511784
23,3,2,5.1244045488265915
24,1,0,2.772736240342666
24,1,1,4.265142723186929
24,1,2,4.265142723186929
24,2,0,2.772736240342666
24,2,1,4.342490479242232
24,2,2,4.409864694241367
24,3,0,2.772736240342666
24,3,1,4.431968611524417
24,3,2,4.758685666715623
25,1,0,2.5352397875227206
25,1,1,4.487296162674887
25,1,2,4.621251266401295
25,2,0,2.5352397875227206
25,2,1,4.5557497611748445
25,2,2,4.890128217238377
25,3,0,2.5352397875227206
25,3,1,4.867531122893142
25,3,2,5.031927913320167
26,1,0,2.005673892903002
26,1,1,4.91567245585953
26,1,2,5.09511143517581
26,2,0,2.005673892903002
26,2,1,5.2665151017275775
26,2,2,6.001789099644913
26,3,0,2.005673892903002
26,3,1,5.654121015427028
26,3,2,6.270033072401662
27,1,0,2.0600017987883064
27,1,1,5.303289336983528
27,1,2,5.561239005834896
27,2,0,2.0600017987883064
27,2,1,5.527318240898682
27,2,2,5.896004200207036
27,3,0,2.0600017987883064
27,3,1,5.907571630624175
27,3,2,6.239008190222257
28,1,0,2.417690999845556
28,1,1,4.0140206389666275
28,1,2,4.582792295273654
28,2,0,2.417690999845556
28,2,1,4.3036011760716555
28,2,2,5.115962555687799
28,3,0,2.417690999845556
28,3,1,3.934026089623136
28,3,2,4.902774068702776
29,1,0,2.5387920923474208
29,1,1,3.6739757436868863
29,1,2,3.6739757436868863
29,2,0,2.5387920923474208
29,2,1,3.9254144961176216
29,2,2,4.1727565519664465
29,3,0,2.5387920923474208
29,3,1,4.207696795114051
29,3,2,4.400297773108033
30,1,0,1.500506347610799
30,1,1,4.3372524690667555
30,1,2,4.759717514319796
30,2,0,1.500506347610799
30,2,1,4.473876502857311
30,2,2,4.833738931549336
30,3,0,1.500506347610799
30,3,1,4.7906264945895725
30,3,2,5.361630979285375
31,1,0,2.4748848080105663
31,1,1,4.835951711464239
31,1,2,4.906246183598243
31,2,0,2.4748848080105663
31,2,1,5.467971552727851
31,2,2,5.966946046479448
31,3,0,2.4748848080105663
31,3,1,5.706871979601423
31,3,2,6.16927611383424
32,1,0,1.1077324545956175
32,1,1,5.987755677232666
32,1,2,5.991739892083711
32,2,0,1.1077324545956175
32,2,1,6.396798193472701
32,2,2,6.581191382444182
32,3,0,1.1077324545956175
32,3,1,6.3257546659242845
32,3,2,6.73661786189552
33,1,0,1.706019020167783
33,1,1,4.502279516889206
33,1,2,4.587792447794824
