scheme,slot,prior_std_deg,sensing_fraction,elements,posterior_std_deg,raw_rate,net_rate,score
No sensing,121,3.6290033670735355,0.0,16,3.6290033670735355,1.2180545551501463,1.2180545551501463,
No sensing,122,3.724495537450976,0.0,16,3.724495537450976,1.199077842793594,1.199077842793594,
No sensing,123,3.8209628066429073,0.0,16,3.8209628066429073,1.180337182064602,1.180337182064602,
No sensing,124,3.918392040940847,0.0,16,3.918392040940847,1.161850090951453,1.161850090951453,
No sensing,125,4.016770683432343,0.0,16,4.016770683432343,1.1436313231796666,1.1436313231796666,
No sensing,126,4.116086714899991,0.0,16,4.116086714899991,1.1256930591167862,1.1256930591167862,
No sensing,127,4.216328617992372,0.0,16,4.216328617992372,1.1080451098658852,1.1080451098658852,
No sensing,128,4.317485344360329,0.0,16,4.317485344360329,1.0906951279911572,1.0906951279911572,
No sensing,129,4.419546284482083,0.0,16,4.419546284482083,1.0736488192009326,1.0736488192009326,
No sensing,130,4.522501239927947,0.0,16,4.522501239927947,1.0569101502952047,1.0569101502952047,
No sensing,131,4.626340397840006,0.0,16,4.626340397840006,1.0404815496593103,1.0404815496593103,
No sensing,132,4.7310543074243085,0.0,16,4.7310543074243085,1.0243640974637676,1.0243640974637676,
No sensing,133,4.836633858273101,0.0,16,4.836633858273101,1.0085577034621966,1.0085577034621966,
No sensing,134,4.9430702603525924,0.0,16,4.9430702603525924,0.9930612708611504,0.9930612708611504,
No sensing,135,5.050355025507859,0.0,16,5.050355025507859,0.9778728452077748,0.9778728452077748,
No sensing,136,5.15847995035101,0.0,16,5.15847995035101,0.9629897476727778,0.9629897476727778,
No sensing,137,5.267437100411715,0.0,16,5.267437100411715,0.9484086925680234,0.9484086925680234,
No sensing,138,5.377218795440874,0.0,16,5.377218795440874,0.9341258894669825,0.9341258894669825,
No sensing,139,5.4878175957687185,0.0,16,5.4878175957687185,0.9201371308672769,0.9201371308672769,
No sensing,140,5.599226289627981,0.0,16,5.599226289627981,0.9064378668608807,0.9064378668608807,
No sensing,141,5.711437881361277,0.0,16,5.711437881361277,0.8930232686472774,0.8930232686472774,
No sensing,142,5.8244455804394,0.0,16,5.8244455804394,0.8798882828576262,0.8798882828576262,
No sensing,143,5.938242791224052,0.0,16,5.938242791224052,0.8670276785465407,0.8670276785465407,
No sensing,144,6.052823103414684,0.0,16,6.052823103414684,0.8544360884184232,0.8544360884184232,
No sensing,145,6.168180283124625,0.0,16,6.168180283124625,0.8421080454883874,0.8421080454883874,
No sensing,146,6.284308264536659,0.0,8,6.284308264536659,0.8318116111560284,0.8318116111560284,
No sensing,147,6.401201142092677,0.0,8,6.401201142092677,0.8233613205325002,0.8233613205325002,
No sensing,148,6.51885316317608,0.0,8,6.51885316317608,0.8149557138523078,0.8149557138523078,
No sensing,149,6.63725872124925,0.0,8,6.63725872124925,0.8065999338986113,0.8065999338986113,
No sensing,150,6.756412349411691,0.0,8,6.756412349411691,0.7982987646022142,0.7982987646022142,
No sensing,151,6.87630871434743,0.0,8,6.87630871434743,0.7900566337496462,0.7900566337496462,
No sensing,152,6.996942610632942,0.0,8,6.996942610632942,0.7818776178199894,0.7818776178199894,
No sensing,153,7.11830895537931,0.0,8,7.11830895537931,0.7737654487209269,0.7737654487209269,
No sensing,154,7.240402783184534,0.0,8,7.240402783184534,0.7657235221964299,0.7657235221964299,
No sensing,155,7.363219241373912,0.0,8,7.363219241373912,0.7577549076837166,0.7577549076837166,
No sensing,156,7.486753585508219,0.0,8,7.486753585508219,0.749862359404766,0.749862359404766,
No sensing,157,7.611001175141069,0.0,8,7.611001175141069,0.7420483284870325,0.7420483284870325,
No sensing,158,7.735957469808347,0.0,8,7.735957469808347,0.7343149759184281,0.7343149759184281,
No sensing,159,7.861618025233963,0.0,8,7.861618025233963,0.7266641861528046,0.7266641861528046,
No sensing,160,7.8625338138976275,0.0,8,7.8625338138976275,0.7266088913487943,0.7266088913487943,
No sensing,161,7.863449495907224,0.0,8,7.863449495907224,0.7265536096626128,0.7265536096626128,
No sensing,162,7.864365071300008,0.0,8,7.864365071300008,0.7264983410893423,0.7264983410893423,
No sensing,163,7.865280540113212,0.0,8,7.865280540113212,0.7264430856240671,0.7264430856240671,
No sensing,164,7.866195902384048,0.0,8,7.866195902384048,0.7263878432618742,0.7263878432618742,
No sensing,165,7.867111158149704,0.0,8,7.867111158149704,0.7263326139978524,0.7263326139978524,
No sensing,166,7.868026307447351,0.0,8,7.868026307447351,0.7262773978270932,0.7262773978270932,
No sensing,167,7.868941350314132,0.0,8,7.868941350314132,0.7262221947446905,0.7262221947446905,
No sensing,168,7.869856286787173,0.0,8,7.869856286787173,0.72616700474574,0.72616700474574,
No sensing,169,7.870771116903578,0.0,8,7.870771116903578,0.7261118278253403,0.7261118278253403,
No sensing,170,7.871685840700428,0.0,8,7.871685840700428,0.7260566639785921,0.7260566639785921,
No sensing,171,7.872600458214783,0.0,8,7.872600458214783,0.7260015132005982,0.7260015132005982,
No sensing,172,7.873514969483681,0.0,8,7.873514969483681,0.7259463754864641,0.7259463754864641,
No sensing,173,7.87442937454414,0.0,8,7.87442937454414,0.725891250831297,0.725891250831297,
No sensing,174,7.875343673433155,0.0,8,7.875343673433155,0.7258361392302074,0.7258361392302074,
No sensing,175,7.8762578661877,0.0,8,7.8762578661877,0.7257810406783071,0.7257810406783071,
No sensing,176,7.877171952844728,0.0,8,7.877171952844728,0.7257259551707107,0.7257259551707107,
No sensing,177,7.87808593344117,0.0,8,7.87808593344117,0.725670882702535,0.725670882702535,
No sensing,178,7.878999808013936,0.0,8,7.878999808013936,0.7256158232688994,0.7256158232688994,
No sensing,179,7.879913576599914,0.0,8,7.879913576599914,0.7255607768649249,0.7255607768649249,
No sensing,180,7.880827239235971,0.0,8,7.880827239235971,0.7255057434857357,0.7255057434857357,
No sensing,181,7.881740795958952,0.0,8,7.881740795958952,0.7254507231264576,0.7254507231264576,
No sensing,182,7.882654246805682,0.0,8,7.882654246805682,0.7253957157822191,0.7253957157822191,
No sensing,183,7.883567591812964,0.0,8,7.883567591812964,0.7253407214481506,0.7253407214481506,
No sensing,184,7.88448083101758,0.0,8,7.88448083101758,0.7252857401193854,0.7252857401193854,
No sensing,185,7.885393964456289,0.0,8,7.885393964456289,0.7252307717910584,0.7252307717910584,
No sensing,186,7.886306992165831,0.0,8,7.886306992165831,0.7251758164583073,0.7251758164583073,
No sensing,187,7.887219914182922,0.0,8,7.887219914182922,0.7251208741162718,0.7251208741162718,
No sensing,188,7.888132730544261,0.0,8,7.888132730544261,0.7250659447600946,0.7250659447600946,
No sensing,189,7.889045441286522,0.0,8,7.889045441286522,0.7250110283849194,0.7250110283849194,
No sensing,190,7.88995804644636,0.0,8,7.88995804644636,0.7249561249858931,0.7249561249858931,
No sensing,191,7.890870546060406,0.0,8,7.890870546060406,0.7249012345581648,0.7249012345581648,
No sensing,192,7.891782940165274,0.0,8,7.891782940165274,0.7248463570968857,0.7248463570968857,
No sensing,193,7.892695228797552,0.0,8,7.892695228797552,0.7247914925972092,0.7247914925972092,
No sensing,194,7.893607411993812,0.0,8,7.893607411993812,0.7247366410542921,0.7247366410542921,
No sensing,195,7.894519489790601,0.0,8,7.894519489790601,0.7246818024632914,0.7246818024632914,
No sensing,196,7.895431462224446,0.0,8,7.895431462224446,0.724626976819368,0.724626976819368,
No sensing,197,7.896343329331853,0.0,8,7.896343329331853,0.7245721641176849,0.7245721641176849,
No sensing,198,7.897255091149307,0.0,8,7.897255091149307,0.7245173643534064,0.7245173643534064,
No sensing,199,7.898166747713272,0.0,8,7.898166747713272,0.7244625775217002,0.7244625775217002,
No sensing,200,7.899078299060192,0.0,8,7.899078299060192,0.7244078036177359,0.7244078036177359,
No sensing,201,7.899989745226487,0.0,8,7.899989745226487,0.7243530426366854,0.7243530426366854,
No sensing,202,7.90090108624856,0.0,8,7.90090108624856,0.7242982945737226,0.7242982945737226,
No sensing,203,7.901812322162788,0.0,8,7.901812322162788,0.7242435594240241,0.7242435594240241,
No sensing,204,7.902723453005532,0.0,8,7.902723453005532,0.7241888371827682,0.7241888371827682,
No sensing,205,7.903634478813129,0.0,8,7.903634478813129,0.7241341278451361,0.7241341278451361,
No sensing,206,7.904545399621896,0.0,8,7.904545399621896,0.7240794314063113,0.7240794314063113,
No sensing,207,7.90545621546813,0.0,8,7.90545621546813,0.7240247478614783,0.7240247478614783,
No sensing,208,7.906366926388104,0.0,8,7.906366926388104,0.7239700772058261,0.7239700772058261,
No sensing,209,7.907277532418075,0.0,8,7.907277532418075,0.723915419434544,0.723915419434544,
