budget_per_task,policy,deadline_miss_rate,task_weighted_deadline_miss_rate,mean_latency_ms,p95_latency_ms,mean_transmissions_per_task,replica_execution_rate,proactive_migration_rate,migration_traffic_mb_per_task,resilience_credits_per_task
0.8,uncertainty_gated,0.10340909090909091,0.10453103011695764,36.86133093731691,121.1278505643588,1.9152272727272728,0.12795454545454546,0.0,2.8636363636363633,0.7997136363636537
1.0,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
1.0,radio_first,0.10363636363636364,0.095928734025744,36.874798236201954,120.7142796382665,1.915909090909091,0.07022727272727272,0.010454545454545454,3.6,0.7555227272727447
1.0,edge_first,0.2165909090909091,0.21239919901410753,48.03268166899424,129.0699336490976,1.0595454545454546,0.08409090909090909,0.019545454545454546,4.090909090909091,0.1705545454545464
1.0,risk_budget,0.09636363636363637,0.09574383936182516,36.49644038397324,121.24074136015501,1.884090909090909,0.30568181818181817,0.015,3.6818181818181817,0.9997954545454488
1.0,uncertainty_gated,0.09659090909090909,0.09405815286197132,36.39471348468426,120.31413372264737,1.915909090909091,0.3090909090909091,0.00022727272727272727,2.7818181818181817,0.9998636363636311
1.2,reactive,0.22454545454545455,0.22174918550846262,48.76519333955842,127.94578978203586,1.0,0.0,0.0,2.961818181818182,0.0
1.2,radio_first,0.10477272727272727,0.09849520951183346,36.950063515396536,120.67690398404947,1.915909090909091,0.07204545454545455,0.01,3.5345454545454547,0.7567045454545629
1.2,edge_first,0.2165909090909091,0.21239919901410753,48.03268166899424,129.0699336490976,1.0595454545454546,0.08409090909090909,0.019545454545454546,4.090909090909091,0.1705545454545464
1.2,risk_budget,0.08204545454545453,0.07471000759791888,35.28710543928882,119.55765634121975,1.8865909090909092,0.46659090909090906,0.026818181818181817,4.467272727272727,1.1998681818181358
1.2,uncertainty_gated,0.0809090909090909,0.08202193415966563,35.00402667837008,118.4718464094613,1.9220454545454544,0.4806818181818182,0.0025,2.961818181818182,1.19712272727268
