angle_deg,bartlett,music
-16.049999999999997,0.19253090093494266,0.0037349426521386996
-16.0,0.19551106388429493,0.0037757072776600734
-15.95,0.19852642257410089,0.0038174646783693715
-15.899999999999999,0.20157685757583313,0.003860242652491006
-15.85,0.20466224100325925,0.003904069985095808
-15.799999999999999,0.2077824365049425,0.003948976489214407
-15.75,0.2109372992593636,0.00399499304892562
-15.7,0.21412667597267135,0.004042151664527756
-15.649999999999999,0.21735040487908122,0.0040904854999073825
-15.6,0.22060831574392573,0.004140028932227046
-15.549999999999999,0.22390022986937214,0.00419081760406105
-15.5,0.2272259601028108,0.0042428884781163766
-15.45,0.23058531084792555,0.004296279894684478
-15.399999999999999,0.23397807807845253,0.004351031631978857
-15.35,0.23740404935463452,0.004407184969523162
-15.299999999999999,0.2408630038423709,0.004464782754765075
-15.25,0.24435471233507336,0.004523869473102583
-15.2,0.24787893727822854,0.004584491321521287
-15.149999999999999,0.2514354327966678,0.004646696286054315
-15.1,0.2550239447245455,0.004710534223290353
-15.049999999999999,0.25864421063803106,0.004776056946170265
-15.0,0.2622959598907057,0.0048433183143285815
-14.95,0.2659789136516699,0.004912374329253553
-14.899999999999999,0.269692784946353,0.004983283234557727
-14.85,0.27343727870002565,0.005056105621671007
-14.799999999999999,0.2772120917840061,0.005130904541289271
-14.75,0.2810169130645593,0.005207745620934836
-14.7,0.2848514234544781,0.005286697189009603
-14.649999999999999,0.28871529596733936,0.00536783040574823
-14.6,0.2926081957744293,0.005451219401507644
-14.549999999999999,0.2965297802643281,0.005536941422859886
-14.5,0.3004796991051321,0.005625076986988468
-14.45,0.30445759430932556,0.005715710044924985
-14.399999999999999,0.3084631003012607,0.0058089281542007135
-14.35,0.3124958439872551,0.005904822661530811
-14.299999999999999,0.31655544482828146,0.006003488896193304
-14.25,0.3206415149152319,0.006105026374814574
-14.2,0.32475365904675024,0.0062095390183261575
-14.149999999999999,0.32889147480960096,0.006317135381914728
-14.1,0.33305455266157136,0.006427928898850103
-14.049999999999999,0.3372424760168731,0.006542038139142942
-14.0,0.3414548213340332,0.006659587084057524
-13.95,0.3456911582062464,0.006780705417584328
-13.899999999999999,0.3499510494541694,0.006905528836063349
-13.849999999999998,0.3542340512211341,0.007034199377243245
-13.8,0.3585397130707528,0.00716686577016293
-13.75,0.36286757808689246,0.0073036838073538
-13.7,0.36721718297599065,0.007444816740981099
-13.649999999999999,0.37158805817168405,0.0075904357046750566
-13.599999999999998,0.37597972794172835,0.007740720162945762
-13.55,0.3803917104971697,0.007895858390232385
-13.5,0.38482351810375,0.00805604798180852
-13.45,0.3892746571955017,0.008221496398951915
-13.399999999999999,0.3937446284905136,0.008392421550991675
-13.349999999999998,0.39823292710882674,0.008569052417068781
-13.3,0.4027390426924274,0.008751629710691107
-13.25,0.40726245952730916,0.008940406590431748
-13.2,0.41180265666755766,0.009135649420413552
-13.149999999999999,0.4163591080614357,0.009337638584545565
-13.099999999999998,0.420931282679419,0.009546669358830974
-13.05,0.42551864464415284,0.009763052846455638
-13.0,0.4301206533622916,0.009987116980794894
-12.95,0.43473676365817315,0.010219207601946974
-12.899999999999999,0.4393664259092987,0.010459689612921704
-12.849999999999998,0.4440090861835719,0.010708948222185367
-12.8,0.4486641863782532,0.010967390279894629
-12.75,0.45333116436059645,0.01123544571585104
-12.7,0.4580094541101111,0.011513569087978837
-12.649999999999999,0.4626984858624179,0.011802241250983302
-12.599999999999998,0.4673976862546481,0.01210197115579257
-12.55,0.4721064784723436,0.01241329779143382
