frame,target,true_range,estimated_range,estimated_velocity,track_id
23,0,102.2,102.80503530978466,7.0974172514486975,0
23,1,129.3,127.99317512531225,-4.529121675610327,1
24,0,103.60000000000001,104.2245187600744,7.0974172514486975,0
24,1,128.4,127.20199695447077,-4.433301099540039,1
25,0,105.0,105.64400221036415,7.0974172514486975,0
25,1,127.5,126.53254198993619,-4.199024318024585,1
26,0,106.4,106.98576683884035,6.936933492686898,0
26,1,126.6,125.85831520271539,-4.333948038468749,1
27,0,107.80000000000001,108.34297970532805,6.750282139860596,0
27,1,125.7,125.06053554211903,-4.341327596750056,1
28,0,109.2,109.28238156698427,6.632800876603065,0
28,1,124.8,123.88116427539674,-4.717911734736687,1
29,0,110.60000000000001,110.46418849571148,6.5334735207117385,0
29,1,123.9,122.9375819284494,-4.717911734736687,1
30,0,112.0,112.2891672549633,6.8706659007310815,0
30,1,123.0,121.99399958150207,-4.717911734736687,1
31,0,113.4,113.71178523278994,6.743850719999976,0
31,1,122.1,120.86449833779895,-4.792402521622736,1
32,0,114.80000000000001,115.42807710970281,7.0150625873710215,0
32,1,121.2,120.11611316899726,-4.489795269464512,1
33,0,116.2,116.81398305851135,6.798431080695193,0
33,1,120.3,119.31870415533893,-4.421001969092849,1
34,0,117.60000000000001,118.25730028957592,6.946081540443429,0
34,1,119.4,118.7589640550596,-4.376862259905233,1
35,0,119.0,119.64651659766461,6.946081540443429,0
35,1,118.5,117.71288883671825,-4.522145894190311,1
36,0,120.4,121.0357329057533,6.946081540443429,0
36,1,117.6,116.80845965788019,-4.522145894190311,1
37,0,121.80000000000001,122.38083814608434,6.90770916428829,0
37,1,116.69999999999999,115.89484597570024,-4.774631494873286,1
38,0,123.2,123.5586345677697,6.829794176467297,0
38,1,115.8,114.56703309472275,-4.913060376027076,1
39,0,124.60000000000001,124.92459340306316,6.829794176467297,0
39,1,114.9,113.58442101951734,-4.913060376027076,1
40,0,126.0,126.00375992793543,6.474796722600377,0
40,1,114.0,112.42403652007313,-5.031043657339732,1
41,0,127.4,127.66274374783592,6.594453886764667,0
41,1,113.1,111.41782778860518,-5.031043657339732,1
42,0,128.8,128.98163452518884,6.594453886764667,0
42,1,112.19999999999999,110.67407419173071,-4.770094435236602,1
43,0,130.2,130.87969193562506,6.919700192309921,0
43,1,111.30000000000001,110.17738936526405,-4.621509814967162,1
44,0,131.60000000000002,132.26363197408705,6.919700192309921,0
44,1,110.4,109.25308740227061,-4.621509814967162,1
45,0,133.0,133.46423198540361,6.705953955835844,0
45,1,109.5,108.32878543927717,-4.621509814967162,1
46,0,134.4,134.84797636689714,6.601216849165211,0
46,1,108.6,107.41824872366084,-4.65946579051081,1
47,0,135.8,136.16821973673018,6.601216849165211,0
47,1,107.69999999999999,106.29674521875006,-4.951703083089374,1
48,0,137.20000000000002,137.43571218722093,6.665894270879764,0
48,1,106.8,105.30640460213219,-4.951703083089374,1
49,0,138.60000000000002,138.76889104139687,6.665894270879764,0
49,1,105.9,104.31606398551432,-4.951703083089374,1
50,0,140.0,140.1020698955728,6.665894270879764,0
50,1,105.0,103.7895772159571,-4.586441526783353,1
51,0,141.4,141.10117342766918,6.405405025351078,0
51,1,104.1,103.36540384698309,-4.391196852749717,1
52,0,142.8,142.3822544327394,6.405405025351078,0
52,1,103.19999999999999,102.0433803748129,-4.457180367376639,1
53,0,144.20000000000002,143.6633354378096,6.405405025351078,0
53,1,102.3,101.07496366010531,-4.54567679040527,1
54,0,145.60000000000002,144.9719344800502,6.357425257461474,0
54,1,101.4,100.16582830202425,-4.54567679040527,1
55,0,147.0,146.24341953154251,6.357425257461474,0
55,1,100.5,99.2566929439432,-4.54567679040527,1
56,0,148.4,148.78387191926134,7.743306247332067,16
56,1,99.6,98.71000580018564,-4.440771395661303,1
57,0,149.8,150.33253316872776,7.743306247332067,16
57,1,98.69999999999999,97.92568119472799,-4.479834567728865,1
